,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q79,Q8_Browser,Q8_Version,Q8_Operating System,Q8_Resolution,age,years_education,english_first_lang,handedness,sex_at_birth,gender,Q15_6_TEXT,ethnicity,Q16_4_TEXT,Q17,Q17_8_TEXT,SBSOD_1_1,SBSOD_2_1,SBSOD_3_1,SBSOD_4_1,SBSOD_5_1,SBSOD_6_1,SBSOD_7_1,SBSOD_8_1,SBSOD_9_1,SBSOD_10_1,SBSOD_11_1,SBSOD_12_1,SBSOD_13_1,SBSOD_14_1,SBSOD_15_1,VVIQ_1_Open_1,VVIQ_2_Open_1,VVIQ_3_Open_1,VVIQ_4_Open_1,VVIQ_5_Open_1,VVIQ_6_Open_1,VVIQ_7_Open_1,VVIQ_8_Open_1,VVIQ_9_Open_1,VVIQ_10_Open_1,VVIQ_11_Open_1,VVIQ_12_Open_1,VVIQ_13_Open_1,VVIQ_14_Open_1,VVIQ_15_Open_1,VVIQ_16_Open_1,VVIQ_1_Closed_1,VVIQ_2_Closed_1,VVIQ_3_Closed_1,VVIQ_4_Closed_1,VVIQ_5_Closed_1,VVIQ_6_Closed_1,VVIQ_7_Closed_1,VVIQ_8_Closed_1,VVIQ_9_Closed_1,VVIQ_10_Closed_1,VVIQ_11_Closed_1,VVIQ_12_Closed_1,VVIQ_13_Closed_1,VVIQ_14_Closed_1,VVIQ_15_Closed_1,VVIQ_16_Closed_1,Q95,id,Complete Data,Ling_or_Analog,Attention Check,participant
25,11/12/20 11:04,11/12/20 11:36,IP Address,45.21.173.114,100,1941,TRUE,11/12/20 11:36,R_2v6yvVTA4bPGlGm,,,,,25.76409912,-80.27020264,anonymous,EN,,Chrome,86.0.4240.80,Macintosh,1440x900,18.0,13,english,right,female,woman,,heterosexual,,hisp,,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Disagree,Disagree,Disagree,Neutral,Somewhat agree,Disagree,Clear and reasonably vivid,Moderate clear and vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Moderate clear and vivid,Clear and reasonably vivid,Moderate clear and vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,ufbold5000,43899.0,1.0,Ling,7.0,43899.0
26,11/12/20 11:30,11/12/20 11:49,IP Address,66.231.143.229,100,1125,TRUE,11/12/20 11:49,R_08svLyKy0k3BoPL,,,,,29.68249512,-82.36060333,anonymous,EN,,Edge,86.0.622.63,Windows NT 10.0,1536x864,20.0,15,english,right,female,woman,,heterosexual,,white,,Agree,Somewhat disagree,Somewhat agree,Agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Disagree,Neutral,Disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Agree,Disagree,Moderate clear and vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Moderate clear and vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,ufbold5000,43992.0,1.0,Analog,9.0,43992.0
27,11/12/20 10:52,11/12/20 11:50,IP Address,128.227.1.40,100,3450,TRUE,11/12/20 11:50,R_1fZUFsNm8ZZsWqT,,,,,29.646698,-82.32839966,anonymous,EN,,Safari,13.1.1,Macintosh,1440x900,18.0,12,english,right,female,woman,,do not wish to say,,white,,Agree,Disagree,Somewhat agree,Agree,Neutral,Somewhat disagree,Neutral,Somewhat disagree,Somewhat agree,Somewhat disagree,Neutral,Disagree,Neutral,Neutral,Disagree,Vague and dim,"No image at all, you only ""know"" that you are thinking of an object",Vague and dim,Vague and dim,Vague and dim,Vague and dim,Vague and dim,"No image at all, you only ""know"" that you are thinking of an object","No image at all, you only ""know"" that you are thinking of an object",Vague and dim,Vague and dim,"No image at all, you only ""know"" that you are thinking of an object",Moderate clear and vivid,Vague and dim,Vague and dim,"No image at all, you only ""know"" that you are thinking of an object",Moderate clear and vivid,Vague and dim,Vague and dim,Vague and dim,Clear and reasonably vivid,Vague and dim,Moderate clear and vivid,Moderate clear and vivid,Vague and dim,Moderate clear and vivid,Moderate clear and vivid,Vague and dim,Clear and reasonably vivid,Moderate clear and vivid,Vague and dim,Vague and dim,ufbold5000,43965.0,1.0,Ling,9.0,43965.0
28,11/12/20 12:12,11/12/20 12:27,IP Address,66.231.135.113,100,909,TRUE,11/12/20 12:27,R_2uDtGVqSL9iqlWx,,,,,29.646698,-82.32839966,anonymous,EN,,Chrome,85.0.4183.121,Macintosh,1680x1050,22.0,13,english,not right,female,woman,,heterosexual,,white,,Strongly agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat disagree,Agree,Somewhat disagree,Agree,Somewhat disagree,Disagree,Disagree,Disagree,Agree,Disagree,Moderate clear and vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,ufbold5000,44513.0,1.0,Analog,8.0,44513.0
30,11/12/20 19:17,11/12/20 19:40,IP Address,73.224.254.121,100,1366,TRUE,11/12/20 19:40,R_1InKVFV6G1mcb1i,,,,,30.1546936,-81.6292038,anonymous,EN,,Chrome,86.0.4240.193,Windows NT 10.0,1280x720,18.0,12,english,right,female,woman,,heterosexual,,asian,,Somewhat agree,Somewhat disagree,Somewhat disagree,Disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Strongly disagree,Somewhat agree,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Vague and dim,Clear and reasonably vivid,Vague and dim,Clear and reasonably vivid,Moderate clear and vivd,Moderate clear and vivid,Vague and dim,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,ufbold5000,44380.0,1.0,Analog,8.0,44380.0
32,11/8/20 16:13,11/8/20 16:29,IP Address,66.231.136.53,99,959,FALSE,11/15/20 16:29,R_eJz7XMeE5vnajDP,,,,,,,anonymous,EN,,Chrome,86.0.4240.111,Macintosh,1440x900,19.0,12,english,right,female,woman,,heterosexual,,white,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Vague and dim,"No image at all, you only ""know"" that you are thinking of an object",Moderate clear and vivid,Vague and dim,Clear and reasonably vivid,"No image at all, you only ""know"" that you are thinking of an object",Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,"No image at all, you only ""know"" that you are thinking of an object",Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,"No image at all, you only ""know"" that you are thinking of an object",Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,,43903.0,1.0,Analog,9.0,43903.0
35,11/17/20 13:14,11/17/20 13:42,IP Address,66.231.158.196,100,1715,TRUE,11/17/20 13:42,R_1mwrEBgG3eGWCoo,,,,,29.646698,-82.32839966,anonymous,EN,,Chrome,86.0.4240.198,Windows NT 10.0,1536x864,18.0,12,english,right,female,woman,,heterosexual,,white,,Disagree,Agree,Somewhat disagree,Somewhat disagree,Disagree,Agree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Agree,Disagree,Agree,Disagree,Agree,Clear and reasonably vivid,Moderate clear and vivid,Vague and dim,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Vague and dim,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Moderate clear and vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,ufbold5000,44576.0,1.0,Analog,8.0,44576.0
36,11/17/20 13:27,11/17/20 13:44,IP Address,184.185.222.14,100,1043,TRUE,11/17/20 13:44,R_A5y1vnkwSaG45Ud,,,,,29.61380005,-82.38600159,anonymous,EN,,Chrome,86.0.4240.193,Macintosh,1440x900,18.0,13,english,right,male,man,,heterosexual,,white,,Neutral,Somewhat disagree,Agree,Neutral,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat disagree,Disagree,Somewhat disagree,Somewhat disagree,Disagree,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,ufbold5000,44557.0,1.0,Ling,9.0,44557.0
37,11/17/20 14:09,11/17/20 14:26,IP Address,76.29.74.234,100,997,TRUE,11/17/20 14:26,R_32PxMK3Cny0sChY,,,,,41.74159241,-87.9375,anonymous,EN,,Chrome,86.0.4240.198,Windows NT 10.0,1500x1000,20.0,13,english,right,male,man,,heterosexual,,white,,Agree,Disagree,Agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat disagree,Agree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Vague and dim,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,ufbold5000,44580.0,1.0,Ling,8.0,44580.0
38,11/17/20 13:56,11/17/20 14:35,IP Address,64.57.202.103,100,2336,TRUE,11/17/20 14:35,R_und3YQMtvlN3EWJ,,,,,26.29750061,-80.18160248,anonymous,EN,,Chrome,86.0.4240.193,Windows NT 10.0,1366x768,18.0,12,english,right,male,man,,heterosexual,,white,,Somewhat agree,Somewhat disagree,Neutral,Agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Disagree,Neutral,Somewhat agree,Agree,Somewhat disagree,Agree,Somewhat disagree,Somewhat agree,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Moderate clear and vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,ufbold5000,44502.0,1.0,Analog,8.0,44502.0
40,11/17/20 14:47,11/17/20 15:01,IP Address,128.227.1.38,100,862,TRUE,11/17/20 15:01,R_2ysdkIL8OjGNnFo,,,,,29.646698,-82.32839966,anonymous,EN,,Chrome,85.0.4183.102,Macintosh,1440x900,18.0,12,english,right,male,man,,heterosexual,,white,,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Agree,Neutral,Agree,Somewhat agree,Somewhat agree,Agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,ufbold5000,44178.0,1.0,Ling,8.0,44178.0
41,11/17/20 15:03,11/17/20 15:16,IP Address,216.246.166.21,100,824,TRUE,11/17/20 15:16,R_3rJofSoQoN19i4d,,,,,28.49859619,-81.53530121,anonymous,EN,,Chrome,86.0.4240.183,Macintosh,1440x900,19.0,14,english,right,male,man,,heterosexual,,asian,,Agree,Agree,Agree,Agree,Somewhat agree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Moderate clear and vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Moderate clear and vivid,Moderate clear and vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Moderate clear and vivid,ufbold5000,44545.0,1.0,Analog,6.0,44545.0
42,11/17/20 16:49,11/17/20 17:11,IP Address,209.251.153.2,100,1316,TRUE,11/17/20 17:11,R_uxqSjwMz3PZoKZ3,,,,,29.65150452,-82.34929657,anonymous,EN,,Safari,12.1.2,Macintosh,1440x900,19.0,13,english,right,female,woman,,heterosexual,,other,Middle Eastern,Somewhat disagree,Strongly agree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly disagree,Agree,Agree,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat agree,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,ufbold5000,44582.0,1.0,Ling,6.0,44582.0
44,11/17/20 22:42,11/17/20 23:17,IP Address,128.227.4.151,100,2104,TRUE,11/17/20 23:17,R_1mfnFZGBMz1SVkJ,,,,,29.68400574,-82.35690308,anonymous,EN,,Chrome,86.0.4240.111,Macintosh,1440x900,18.0,12,english,right,male,man,,heterosexual,,white,,Agree,Disagree,Somewhat disagree,Agree,Strongly disagree,Strongly disagree,Agree,Disagree,Agree,Somewhat disagree,Disagree,Disagree,Neutral,Strongly agree,Disagree,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,ufbold5000,44508.0,1.0,Ling,8.0,44508.0
45,11/18/20 7:37,11/18/20 7:58,IP Address,75.49.125.4,100,1243,TRUE,11/18/20 7:58,R_1DYKXA4h7sXtK2N,,,,,30.26609802,-97.71360016,anonymous,EN,,Chrome,86.0.4240.183,Macintosh,1280x800,18.0,12,english,right,female,woman,,bisexual,,white,,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat disagree,Neutral,Disagree,Somewhat agree,Neutral,Strongly agree,Strongly agree,Disagree,Agree,Agree,Somewhat agree,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivd,Moderate clear and vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,ufbold5000,44526.0,1.0,Analog,7.0,44526.0
47,11/18/20 10:55,11/18/20 11:30,IP Address,128.227.4.173,100,2115,TRUE,11/18/20 11:30,R_1K8vEkWnqa3fOAu,,,,,29.68400574,-82.35690308,anonymous,EN,,Chrome,86.0.4240.193,Macintosh,1440x900,18.0,12,english,right,female,woman,,bisexual,,black/afri-amer,,Agree,Disagree,Somewhat disagree,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Disagree,Somewhat disagree,Neutral,Neutral,Disagree,Neutral,Agree,Somewhat disagree,Clear and reasonably vivid,Clear and reasonably vivid,Vague and dim,Moderate clear and vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,Clear and reasonably vivid,Clear and reasonably vivid,Vague and dim,Clear and reasonably vivid,"No image at all, you only ""know"" that you are thinking of an object",Moderate clear and vivd,Moderate clear and vivid,Vague and dim,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Vague and dim,Clear and reasonably vivid,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Moderate clear and vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Moderate clear and vivid,Perfectly clear and as vivid as normal vision,"No image at all, you only ""know"" that you are thinking of an object",Clear and reasonably vivid,Clear and reasonably vivid,Moderate clear and vivid,ufbold5000,43887.0,1.0,Analog,7.0,43887.0
49,11/18/20 13:21,11/18/20 13:54,IP Address,174.141.163.101,100,1942,TRUE,11/18/20 13:54,R_1GOX1pWUfCWiUtw,,,,,26.40179443,-80.18280029,anonymous,EN,,Chrome,86.0.4240.198,Windows NT 10.0,1920x1080,19.0,14,english,right,male,man,,heterosexual,,"asian,hisp",,Disagree,Strongly agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat agree,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Vague and dim,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,Clear and reasonably vivid,ufbold5000,44162.0,1.0,Analog,9.0,44162.0
51,11/18/20 14:33,11/18/20 15:03,IP Address,70.171.53.102,100,1843,TRUE,11/18/20 15:03,R_3iKFSRW7zxNQAIs,,,,,29.61380005,-82.38600159,anonymous,EN,,Chrome,86.0.4240.183,Macintosh,1280x800,20.0,13,not english,right,female,woman,,heterosexual,,"hisp,white",,Somewhat agree,Disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Agree,Neutral,Strongly disagree,Somewhat disagree,Disagree,Disagree,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Clear and reasonably vivid,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,Perfectly clear and as vivid as normal vision,ufbold5000,44237.0,1.0,Ling,7.0,44237.0
